Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,12/13/20,US,12654,11131,1355,12654,11131,1355,11131,12654,1355,null,null,1428,11131,1428,1428
Report,12/13/20,US,null,null,null,null,null,null,null,null,null,0,0,null,null,null,null
Admin,12/13/20,LTC,229,229,0,229,229,0,229,229,0,null,null,0,229,0,0
Admin,12/14/20,US,3791,3663,5,16445,14794,1360,7397,8222,680,null,null,23,14794,1451,725
Report,12/14/20,US,null,null,null,null,null,null,null,null,null,509,255,null,null,null,null
Admin,12/14/20,LTC,0,0,0,229,229,0,115,114,0,null,null,0,229,0,0
Admin,12/15/20,US,49535,46065,27,65980,60859,1387,20286,21993,462,null,null,47,60859,1498,499
Report,12/15/20,US,null,null,null,null,null,null,null,null,null,12129,4213,null,null,null,null
Admin,12/15/20,LTC,0,0,0,229,229,0,76,76,0,null,null,0,229,0,0
Admin,12/16/20,US,159517,152604,205,225497,213463,1592,53366,56374,398,null,null,225,213463,1723,430
Report,12/16/20,US,null,null,null,null,null,null,null,null,null,38996,12909,null,null,null,null
Admin,12/16/20,LTC,0,0,0,229,229,0,57,57,0,null,null,0,229,0,0
Admin,12/17/20,US,272295,261243,511,497792,474706,2103,94941,99558,421,null,null,531,474706,2254,450
Report,12/17/20,US,null,null,null,null,null,null,null,null,null,75708,25468,null,null,null,null
Admin,12/17/20,LTC,5,5,0,234,234,0,47,46,0,null,null,0,234,0,0
Admin,12/18/20,US,414776,402944,645,912568,877650,2748,146275,152094,458,null,null,646,877650,2900,483
Report,12/18/20,US,null,null,null,null,null,null,null,null,null,126800,42357,null,null,null,null
Admin,12/18/20,LTC,1518,1319,0,1752,1553,0,259,292,0,null,null,0,1553,0,0
Admin,12/19/20,US,180866,176004,737,1093434,1053654,3485,150522,156204,498,null,null,738,1053654,3638,519
Report,12/19/20,US,null,null,null,null,null,null,null,null,null,187508,63093,null,null,null,null
Admin,12/19/20,LTC,323,323,0,2075,1876,0,268,296,0,null,null,0,1876,0,0
Admin,12/20/20,US,103517,101171,512,1196951,1154825,3997,163385,169185,377,null,null,548,1154825,4186,394
Report,12/20/20,US,null,null,null,null,null,null,null,null,null,209853,93072,null,null,null,null
Admin,12/20/20,LTC,211,211,0,2286,2087,0,265,293,0,null,null,0,2087,0,0
Admin,12/21/20,US,378812,370138,854,1575763,1524963,4851,215738,222759,499,null,null,858,1524963,5044,513
Report,12/21/20,US,null,null,null,null,null,null,null,null,null,149957,114422,null,null,null,null
Admin,12/21/20,LTC,14166,14002,0,16452,16089,0,2266,2317,0,null,null,0,16089,0,0
Admin,12/22/20,US,445620,436186,2100,2021383,1961149,6951,271470,279343,795,null,null,2103,1961149,7147,807
Report,12/22/20,US,null,null,null,null,null,null,null,null,null,189722,139792,null,null,null,null
Admin,12/22/20,LTC,16783,16561,9,33235,32650,9,4632,4715,1,null,null,9,32650,9,1
Admin,12/23/20,US,565672,553403,1700,2587055,2514552,8651,328727,337365,1008,null,null,1702,2514552,8849,1018
Report,12/23/20,US,null,null,null,null,null,null,null,null,null,368173,186817,null,null,null,null
Admin,12/23/20,LTC,22752,20181,13,55987,52831,22,7515,7965,3,null,null,13,52831,22,3
Admin,12/24/20,US,193429,187806,883,2780484,2702358,9534,318236,326098,1062,null,null,886,2702358,9735,1068
Report,12/24/20,US,null,null,null,null,null,null,null,null,null,338436,224350,null,null,null,null
Admin,12/24/20,LTC,2042,2026,16,58029,54857,38,7803,8256,5,null,null,16,54857,38,5
Admin,12/25/20,US,12091,11979,54,2792575,2714337,9588,262384,268572,977,null,null,54,2714337,9789,984
Report,12/25/20,US,null,null,null,null,null,null,null,null,null,336145,254256,null,null,null,null
